km,price
180658,53932.42
74794,23619.059999999998
180498,-8372.98
52546,47460.54
148171,45318.29
75757,13415.43
179251,4502.49
172295,16033.05
105539,-12304.39
80616,30463.84
103964,6189.360000000001
204725,26357.75
206627,25819.73
182310,-908.1000000000004
173223,49736.770000000004
91360,14905.4
229042,47854.58
11079,15487.21
157960,20058.4
106987,6313.129999999999
177797,39250.03
166954,8953.46
215490,12410.1
46467,16579.33
94544,16062.56
248981,-5118.8099999999995
42611,17945.89
29569,12391.31
219503,25660.97
234997,43874.03
97371,34960.29
27913,31490.870000000003
167466,4287.34
144344,25692.559999999998
105856,-1405.5599999999995
94187,14682.13
9750,3479.5
92998,38565.020000000004
69571,39300.29
31331,16841.690000000002
1348,26421.52
124704,34384.96
54212,3769.879999999999
154939,8794.61
201437,18927.629999999997
214849,2428.51
55418,27831.82
135282,5883.18
61327,35484.729999999996
212943,41116.57
25227,31385.73
61842,17379.58
15837,24264.629999999997
197554,27107.46
109782,-4627.82
129695,35959.05
95979,29065.21
231270,-11989.7
184446,27066.54
16002,10243.98
80010,48604.9
116566,-9006.66
4578,6633.219999999999
235420,25335.8
249237,-4446.369999999999
218253,34872.47
167871,49118.29
216214,45542.86
60137,2853.629999999999
115457,4965.43
105346,16502.54
48632,42913.68
142705,6035.950000000001
222970,5930.299999999999
211911,9633.89
2578,673.2199999999993
219043,36470.57
47075,12807.25
212281,18605.190000000002
112117,32930.83
224505,37380.95
112021,42963.79
25237,16694.629999999997
208332,13715.68
8681,16139.19
36885,10162.15
150122,18063.78
9854,6240.459999999999
109410,22962.9
127700,37583.0
141846,22992.54
200842,22694.58
236543,16638.57
130317,9084.83
174650,30350.5
61415,18905.85
127433,19372.67
230669,48435.31
241878,10650.22
168140,39196.6
62592,17477.08
3985,30266.15
122650,7257.5
8220,33931.8
172131,585.6900000000005
206561,6115.389999999999
157042,43758.58
36465,-4272.65
34617,12232.83
199581,45706.19
174144,-6304.4400000000005
49469,8325.31
195679,292.2099999999991
12370,25228.3
243483,30494.17
54402,48430.979999999996
129445,37735.55
192734,-2114.34
117422,41756.78
150553,50774.47
245883,5254.17
175364,21923.36
151281,35717.19
16559,4470.41
78013,9198.87
9873,42632.270000000004
237359,27409.41
239105,31149.95
147069,15426.31
137156,30784.440000000002
191783,-5318.83
57851,47275.49
81528,25869.72
179613,44120.869999999995
160755,39199.45
203835,21280.65
169832,10850.68
96276,12764.24
86665,52255.35
115784,57090.16
98093,36036.07
81567,-11453.67
202783,-3974.83
138711,6333.889999999999
190949,14713.51
210351,17785.489999999998
144015,12042.85
191438,52373.619999999995
23729,15849.71
32243,18199.57
148359,3635.41
219458,14798.42
247065,27935.35
83912,37229.88
215565,24964.35
183171,15473.29
32136,30294.64
208352,18985.48
133973,25266.27
103058,19546.42
159801,28846.989999999998
40951,21402.489999999998
4675,32273.25
162628,32675.72
45540,4645.6
241224,11344.76
193013,43113.869999999995
119807,28746.93
100867,4744.33
12299,28600.010000000002
244102,21484.98
72421,37015.79
100677,32013.23
65010,34485.9
9939,14239.61
41611,22438.89
135753,18404.47
180770,27839.3
30985,-7100.85
222069,28087.309999999998
79338,13660.62
106545,1322.5499999999993
141168,-5071.68
35525,17988.75
243442,33346.58
92584,39527.16
55754,10632.46
107496,34525.04
165271,53492.29
109881,-7945.8099999999995
131519,3073.8099999999995
44669,44453.31
185266,20420.34
99923,41080.770000000004
214389,21503.11
35416,2939.84
244388,-3222.880000000001
187754,44298.46
131361,3121.3899999999994
57494,52508.06
98433,20273.67
103114,13989.86
210100,11694.0
188598,32741.02
196103,17077.97
139614,41998.86
218029,51060.71
147473,4896.27
138736,30449.64
66231,11050.69
171551,-6398.51
173680,39706.2
27626,32353.739999999998
175492,804.0799999999999
116133,25916.67
220521,36491.79
177161,53726.39
29273,18974.27
126800,29794.0
56274,36857.26
126380,10578.2
154829,52592.71
147065,34030.35
115106,30920.940000000002
72951,21059.489999999998
66028,17646.72
114790,31133.1
89261,40708.39
183167,43845.33
221694,18871.059999999998
93977,28235.23
9703,20660.97
116795,56325.05
193585,18374.15
109974,7300.26
136757,2157.4300000000003
231751,12843.49
60105,34582.95
244394,31341.059999999998
247460,-1880.6000000000004
69497,56030.03
222529,25314.71
45806,55850.94
106180,37324.2
225955,18862.45
20651,37290.49
114962,8334.38
165523,29972.77
163681,21350.190000000002
243215,11721.85
98967,50066.33
85902,39736.979999999996
242907,36571.93
201972,5040.280000000001
185283,-4708.83
71834,1867.6599999999999
155963,23126.37
96302,27359.98
48889,38572.11
132887,18495.129999999997
61696,19022.04
44068,3100.3199999999997
90528,24462.72
43704,37293.96
214294,26968.059999999998
100373,24313.27
109970,2814.2999999999993
228816,23482.84
45548,41225.520000000004
183380,43571.2
150658,53025.42
227434,29114.66
69800,-6044.0
127565,31178.35
247174,17767.260000000002
170457,10642.43
115279,22427.21
82916,8291.84
120812,25901.879999999997
74750,31498.5
128588,25410.12
436,18216.64
89069,9856.31
125711,33520.89
23396,4467.040000000001
143905,-6197.049999999999
8125,-476.25
222875,3272.25
151658,34135.42
205249,37793.51
150416,28210.84
15792,28898.08
11584,51759.16
127388,31555.12
60545,20017.55
198370,24713.3
202513,389.869999999999
149708,16012.92
127818,-6862.18
106968,30704.32
184636,34072.64
193806,25179.940000000002
182531,1336.6900000000005
62629,14069.71
219245,26159.55
160655,6648.450000000001
23286,12903.14
201670,3870.2999999999993
11626,8417.74
3699,27653.010000000002
161133,-6247.33
22741,2908.59
83381,29598.190000000002
2884,35977.16
144129,29614.71
244965,10685.35
107288,20930.12
161684,47212.16
87048,30474.52
82759,1961.4099999999999
130627,19806.73
114333,21612.67
127149,36111.51
221352,17501.48
203676,443.2399999999998
241813,21799.87
239061,14946.39
192258,31142.42
50424,31425.760000000002
78174,34279.26
81455,19620.45
104662,22009.379999999997
226508,23552.92
150172,24400.28
70594,9697.06
51682,25215.18
53565,10713.35
203379,40953.21
40026,25473.739999999998
122538,29799.62
41130,-6550.299999999999
237634,-3440.34
158422,9548.78
184969,13682.31
176622,32018.78
90532,31298.68
2849,22910.510000000002
90621,14936.79
11584,8311.16
9160,13383.4
106010,18746.9
11928,40639.72
40644,2922.5599999999995
247008,3590.92
81761,30956.39
39032,48410.68
19135,30959.65
132082,31817.18
179002,-6795.02
224158,14523.42
161087,-7800.870000000001
141498,49895.020000000004
187346,35767.54
187468,15150.32
87842,34671.58
206254,14692.46
199199,18238.010000000002
17955,46180.45
37431,26451.690000000002
204663,9914.369999999999
135823,8705.77
123735,16803.65
149828,8388.72
162318,11857.82
47234,2675.66
44175,26883.25
106371,21336.29
200367,25898.33
151196,40094.04
85203,11270.97
89800,19731.0
72652,-7291.52
205994,18432.059999999998
6620,-7504.200000000001
129177,13560.23
118460,1092.3999999999996
247556,-9631.56
217669,17410.309999999998
185310,-14689.1
46260,22510.4
207150,38527.5
174356,306.4400000000005
206609,23678.91
230075,-10432.75
61453,9674.47
22987,40909.13
97100,28055.0
74899,10380.01
114070,-10102.7
245011,44067.89
55606,-3765.0599999999995
112884,15341.16
10519,55466.81
150204,24737.96
11543,5120.57
26423,41853.770000000004
35437,1714.6299999999992
153095,8398.05
221199,47921.01
214075,49090.25
182469,-1585.6900000000005
38456,14166.44
15893,29076.07
45579,49759.21
125641,29162.59
134040,13529.6
75061,4121.389999999999
227739,4592.610000000001
73589,-2138.8899999999994
3223,42773.770000000004
213312,23777.88
109852,32681.48
249714,16536.86
81391,38702.09
24991,22001.09
143577,24413.23
45535,51800.65
93813,33558.87
180590,16700.1
229447,23560.53
160213,49151.869999999995
170201,18130.989999999998
194752,46150.479999999996
120599,-926.9899999999998
27979,8756.21
100976,12177.24
117613,40066.869999999995
33900,36391.0
276,22002.239999999998
21808,26257.92
35154,41026.46
1792,23772.08
197689,-3501.8899999999994
2802,43949.979999999996
95782,36864.18
149851,28932.489999999998
164480,44017.2
85112,12327.88
227650,28481.5
191210,49311.9
128433,6810.67
247071,24804.29
118270,19605.3
125600,-5164.0
45941,42076.59
74856,40069.44
68281,25031.190000000002
38269,-4310.6900000000005
30044,967.5599999999995
141196,23787.04
71109,7933.91
196853,11986.47
194556,26352.440000000002
209535,25684.65
158349,27316.510000000002
53564,12518.36
89878,23159.22
214220,47526.8
193553,38570.47
199275,23927.25
120534,15122.66
150386,-3568.8600000000006
144963,31307.37
162135,20586.65
40969,22596.309999999998
203884,38523.16
35468,18428.32
185622,40488.78
93736,-2773.3600000000006
51362,9175.38
13981,19440.190000000002
37194,56136.06
232292,15658.08
58870,33274.3
30832,30755.68
237260,16657.4
151727,729.7299999999996
134354,37385.46
93595,12699.05
91125,26663.75
31991,9545.09
230956,-2517.5599999999995
170823,-243.22999999999956
171292,6835.08
91569,28419.309999999998
209195,27965.05
127156,19717.440000000002
163733,5669.67
168805,26624.95
60395,34636.05
65877,19033.23
5711,41357.89
191169,42003.31
174927,32068.73
218231,-474.3099999999995
196170,28887.3
233150,25446.5
52369,2239.3099999999995
9030,42454.7
88899,35940.01
142916,17452.84
76177,44363.229999999996
168187,22646.129999999997
151513,20392.87
94026,45261.74
112632,28769.68
84195,24513.05
18957,35116.43
248057,-206.5699999999997
212526,38846.74
47933,23026.67
19790,5787.1
202023,29593.77
171452,10391.48
169722,-11204.22
35754,50642.46
242866,16071.34
233103,32858.97
82568,4093.3199999999997
185628,8619.72
220235,47911.65
15542,13357.58
74202,37302.979999999996
198856,32805.44
238185,24640.15
37653,1525.4699999999993
207626,29576.739999999998
212345,15367.55
130420,45860.8
183684,26341.16
150137,32901.63
180819,9474.81
226733,14035.67
113509,23619.91
131403,32551.97
171736,-6309.360000000001
92800,17882.0
220635,39325.65
230261,32194.39
10451,18246.489999999998
225339,25429.61
142067,26157.33
94449,20852.510000000002
245485,16617.15
81324,16184.76
22984,19897.16
134726,2745.74
35757,2448.4300000000003
241524,12390.76
10351,17530.489999999998
201840,10311.6
220085,19689.15
240760,22559.4
173635,18654.65
2346,38262.54
169360,18179.4
111312,20155.879999999997
59723,44689.770000000004
168185,19395.15
160655,2674.4500000000007
137115,-1055.1499999999996
5739,-7573.389999999999
52585,4096.15
227831,51279.69
16163,23761.370000000003
111128,51617.72
190085,12996.15
183397,9756.03
54339,2782.6100000000006
130314,21865.86
167847,44528.53
141547,24211.53
123975,39723.25
247206,34547.94
210985,35243.15
231930,25628.7
153277,21126.23
169474,-6654.74
153448,39960.520000000004
169299,356.0100000000002
114704,20192.96
146333,25909.67
56174,148.26000000000022
242374,13403.26
191318,24011.82
150825,41222.75
51592,37759.08
88590,33107.1
162275,9415.25
237031,2086.6900000000005
158408,41173.92
114873,23248.27
203796,21864.04
56589,36026.11
79050,54238.5
219195,21105.05
221016,16697.84
204565,32215.35
88218,20289.82
14795,-4327.950000000001
141831,33848.69
226168,55137.32
99648,9651.52
40674,42964.26
167868,34371.32
218583,24305.17
180142,27160.58
212812,38272.880000000005
16484,53092.16
96236,14389.64
183315,18028.85
113272,26423.28
243694,37758.06
47429,46382.71
180322,21410.78
108503,7319.969999999999
130849,-5219.49
5749,15976.51
225513,38376.869999999995
165427,40641.729999999996
54477,974.2299999999996
7644,52836.56
85315,6832.85
70372,3547.2800000000007
128679,34456.21
151011,35580.89
57546,-3053.459999999999
191117,28910.83
151836,47893.64
132321,43150.79
70499,6891.01
141286,20377.14
154885,6076.15
113433,56171.67
89651,20141.489999999998
129854,19181.46
124458,47764.42
241085,5738.15
139861,2028.3899999999994
202620,36093.8
142656,-617.5599999999995
172150,11693.5
99668,9846.32
176631,30666.690000000002
102465,42640.35
109831,46308.69
128512,20303.879999999997
235096,47075.04
237253,23567.47
194524,32336.760000000002
113187,20546.129999999997
75697,6140.030000000001
188164,34536.36
185435,8370.65
104114,47566.86
121996,34479.04
42776,33825.24
4676,17851.239999999998
242670,38629.3
97754,23365.46
12453,-1098.5300000000007
174209,41041.91
161571,20847.29
105953,45972.47
201480,2052.2000000000007
226220,27648.8
27683,50744.17
110260,35082.4
32193,31364.07
142997,31975.03
170060,34152.4
210747,8385.529999999999
68725,4248.75
18630,8267.7
45050,-11965.5
98247,6803.530000000001
51112,35514.88
3355,43658.45
124614,50289.86
213072,16821.28
166333,-3405.33
43677,26059.23
67193,46568.07
69228,43191.72
146838,10941.619999999999
68577,27687.23
9276,41059.24
2025,49963.75
109701,18964.989999999998
135527,15563.73
187072,28060.28
224086,52153.14
49438,58832.62
118649,26901.510000000002
42458,44743.42
119079,16436.21
81025,34864.75
56458,22126.42
83863,7254.370000000001
28190,14953.1
129723,23907.77
87975,19704.25
100318,-10018.18
46168,33622.32
194087,44634.13
182921,6626.790000000001
10648,4011.5200000000004
230393,3241.0699999999997
70691,43489.09
150595,40938.05
91819,17382.809999999998
192084,42237.16
93622,44863.78
100691,23584.09
125170,21486.3
218056,16771.440000000002
66160,16464.4
208400,31277.0
150064,45476.36
210927,-4142.27
40578,9907.22
15388,23033.120000000003
211897,39615.03
20356,38770.44
81474,33540.26
173539,52403.61
197422,1389.7800000000007
106143,5704.57
33359,16870.41
194060,33107.4
109740,8108.6
24192,38740.08
2429,33468.71
143832,5463.68
111171,20896.29
131380,21610.2
127503,24625.97
106808,5138.92
151759,-8104.59
188910,37389.9
114112,28011.879999999997
217286,-5593.860000000001
203738,11523.619999999999
189925,-5806.25
71029,33331.71
244436,36209.64
196847,-9759.47
61584,37624.16
152719,34763.81
102892,3578.08
98629,39281.71
182694,38838.06
205672,42971.28
181096,42059.04
84464,32786.36
130392,11722.08
90440,11210.6
237865,9141.35
206090,12660.1
240071,37246.29
162935,2174.6499999999996
31484,-6915.84
49503,-2466.0300000000007
161864,51294.36
33981,44987.19
4342,41366.58
2781,3238.1900000000005
122250,22041.5
238605,38103.95
130731,14733.69
162742,4639.58
247138,8974.619999999999
102105,27008.95
211946,20167.54
134016,43804.84
164990,5230.1
108883,5840.17
140462,46710.38
145815,12437.85
70595,4696.049999999999
139744,10510.56
51284,48252.16
51697,-1795.9699999999993
2556,42014.44
129646,41097.54
19313,22834.870000000003
42274,46763.26
40712,26030.879999999997
14032,58691.68
162819,35990.81
55081,35504.19
55729,29549.71
16255,18030.45
141900,15902.0
3871,37849.29
219832,16270.68
28134,38753.66
29392,52362.08
228831,23694.690000000002
232225,8605.75
233187,6588.130000000001
144106,28591.940000000002
229081,4566.1900000000005
13082,23199.18
48578,32702.22
19021,11052.79
42643,28612.57
161830,27802.7
104204,39659.96
191895,7474.049999999999
213205,30748.95
183546,35857.54
112285,27606.15
118833,6699.67
230822,30392.78
50576,28324.239999999998
1883,26878.17
13271,21628.29
66123,10816.77
183819,41879.81
143558,17750.42
173843,11458.57
243288,-1512.880000000001
52523,-10914.23
160112,11573.88
58701,38522.99
22907,26748.93
17454,23842.46
208624,40073.76
54423,32270.77
173300,11703.0
245745,14683.55
169773,11344.27
132453,44106.47
142271,886.2900000000009
135860,32252.4
112992,15243.08
92007,34857.93
34316,33925.84
9900,31515.0
199981,26757.190000000002
184280,43719.2
115605,2083.9500000000007
155841,9535.59
191816,12990.84
36733,10311.67
207813,30327.87
219631,12475.69
121890,31551.1
212872,-6177.720000000001
51258,26557.42
29347,20176.53
111181,35584.19
233768,35749.32
59528,38690.72
139159,41910.41
216537,25133.63
209541,10501.59
152014,-6390.139999999999
194954,5517.459999999999
39573,363.27000000000044
82740,21037.6
159039,28869.61
192944,45970.56
174004,2744.959999999999
15676,45509.24
68781,18425.190000000002
128524,50490.76
102489,14459.11
76565,7136.35
187713,52041.869999999995
108212,10495.88
134440,17064.6
200636,-3146.3600000000006
24840,16791.6
22275,29157.25
223712,46907.880000000005
10063,49436.37
57454,35716.46
120252,11951.48
137766,7941.34
37916,-4807.16
79647,42672.53
167487,47057.13
205471,50244.29
74299,20954.010000000002
233921,615.7900000000009
57966,23127.34
5999,75.01000000000022
97707,41868.93
78684,35403.16
225021,45863.79
120837,10196.63
21001,28695.989999999998
117686,10025.14
205002,12992.98
72344,28042.559999999998
243544,20891.559999999998
175684,28403.16
47624,53629.76
24923,20837.77
126213,27310.87
101097,16530.03
15345,30362.55
70389,-5832.889999999999
115184,7921.16
172807,30963.93
202933,-6109.33
209269,5070.3099999999995
76057,935.4300000000003
107107,10567.93
235773,33463.270000000004
233066,15046.34
156513,15358.869999999999
2796,48992.04
41666,12079.34
158993,20090.07
197835,13192.65
17099,31053.010000000002
68756,18998.440000000002
139061,45411.39
199900,6070.0
71682,33802.18
188534,48546.66
123509,30514.91
213981,14683.19
102511,40615.89
76388,-617.8799999999992
115556,18610.440000000002
232859,13404.41
205964,2226.3600000000006
14388,45894.12
29613,-2890.129999999999
231891,1079.0900000000001
103194,-9324.94
180297,-770.9699999999993
115586,32244.14
127882,4212.18
124705,-3567.0499999999993
218530,49921.7
122906,50854.94
184475,23216.25
8224,52325.76
222618,337.8199999999997
91682,2716.1800000000003
195718,22924.82
199838,21984.62
132366,27597.34
113687,3639.129999999999
103729,5604.709999999999
13743,36839.57
180056,40906.44
4586,11580.14
218709,-2899.09
180971,5649.290000000001
6766,14896.34
126799,37928.01
169646,8952.54
111454,27028.46
60215,9114.85
49004,47664.96
27966,12776.34
248994,28291.059999999998
135283,5896.17
150528,31547.72
197304,22890.96
98876,33708.24
93157,12008.43
99501,41266.99
54177,30569.23
37577,12528.23
135563,26190.37
151925,41313.75
212921,13015.79
5228,8226.72
167715,8542.85
205752,14307.48
30895,28124.05
10575,4228.25
60578,11309.22
101939,19257.61
223880,9091.2
38556,-1227.5599999999995
226175,24573.25
98647,27958.53
109308,31654.92
157365,14493.35
167364,30182.36
108189,28899.11
186643,45809.57
129838,9323.619999999999
53732,24197.68
84273,37410.270000000004
169927,8209.73
218312,9045.880000000001
129803,38702.97
124222,37789.78
194506,14483.94
106563,16894.37
35968,16900.32
229253,25559.47
16,54403.84
209499,16533.010000000002
114623,35391.770000000004
221262,21677.38
11843,12900.57
46324,-2145.24
114119,13157.81
144764,39630.36
130777,25922.23
6642,19406.58
154340,46876.6
40504,27830.96
152783,11426.17
57955,9005.45
248531,30897.690000000002
72962,17732.379999999997
228235,8792.65
62774,22045.260000000002
35393,34570.07
81954,20624.46
145864,20992.36
52159,8654.41
61497,47437.03
11363,11667.37
55853,15682.47
115780,2335.2000000000007
160021,27230.79
212937,45718.630000000005
225414,30345.86
208907,17947.93
60088,39112.12
47570,3299.2999999999993
248401,27829.989999999998
226278,51029.22
3160,17361.4
132696,21670.04
192165,30381.35
201736,33440.64
202584,32683.16
107076,12820.24
246382,10176.18
170746,22349.54
5221,34225.79
55946,16292.54
43750,-1269.5
165030,52281.7
222241,3196.59
145080,46499.2
28470,22363.3
87351,35713.49
85263,-4225.629999999999
68361,14309.39
79726,47546.74
41000,35610.0
164776,28175.239999999998
38696,303.0400000000009
68601,15697.99
8643,29732.57
47630,41972.7
147239,30775.61
244115,18935.85
182481,26278.190000000002
148095,7766.049999999999
145774,2608.26
158354,14834.46
141065,18065.35
54417,22563.83
237184,18408.16
4211,26571.89
3655,13726.45
25612,29892.879999999997
75183,35915.17
109973,14143.27
14367,16534.33
223077,-11541.77
188118,-1072.1800000000003
154786,31463.14
200585,38225.15
18159,5675.41
69587,10756.13
207412,37211.880000000005
169642,8564.58
30568,5640.32
9759,20017.41
87665,21944.35
238592,14326.08
245865,30242.35
32297,14157.03
123515,21987.85
83082,-6348.82
181890,27498.1
84274,20469.260000000002
48608,26977.92
83047,14797.53
74613,-6916.129999999999
12429,9773.71
232298,-7.979999999999563
164484,40358.16
61143,41446.57
142661,6359.389999999999
231684,29851.16
193140,23683.6
10519,18536.809999999998
51786,2323.1399999999994
246812,12792.880000000001
103545,50743.55
17794,27699.059999999998
225260,-1997.6000000000004
102185,26126.15
84600,15463.0
107002,23143.98
68474,15776.26
144113,52394.869999999995
6403,23011.97
9694,13234.06
228159,29842.41
126068,-5863.68
89144,19181.559999999998
160068,33421.32
196373,20532.27
221281,40677.19
79835,31527.65
94844,11756.56
79177,35047.229999999996
214393,29983.07
8248,18729.52
113230,24275.7
146888,36269.119999999995
141161,36197.39
66241,53360.59
68522,-676.2199999999993
118494,36920.06
131423,34869.770000000004
202543,24762.57
3856,5675.4400000000005
186908,40050.92
244286,8368.14
131858,23057.42
207297,-4064.970000000001
117854,16910.46
205107,55326.93
76514,-1543.1399999999994
59335,-1222.3500000000004
36221,38292.79
30323,42536.770000000004
28968,20257.32
157015,28002.85
215569,35940.31
171324,38029.76
209418,8412.82
145791,30125.09
204202,5457.98
42208,33272.92
218644,20620.559999999998
6244,20293.559999999998
109038,48262.619999999995
100261,18923.39
34866,36890.34
159913,9390.869999999999
146464,14447.36
157929,27110.71
152208,38850.92
212373,-9551.73
105121,48019.79
44518,7585.82
246858,13385.42
121347,14429.53
185184,15599.16
27104,26720.96
192986,26751.14
227546,50905.54
105108,18247.92
27544,44414.56
9249,27878.510000000002
21436,21622.64
191565,20335.35
24620,44408.8
242245,30241.55
239166,21337.34
44706,21123.940000000002
108940,51431.6
61562,23927.379999999997
73094,296.0599999999995
123313,23990.87
6034,6079.66
141027,29720.73
73741,53124.59
73729,27706.71
42892,36901.08
130498,33393.020000000004
75633,44011.67
179442,-9218.42
